bricks,hinges,modules,size,proportion2d,proportionNiels,single_neighbour_brick_ratio,single_neighbour_ratio,double_neighbour_brick_and_active_hinge_ratio,maxrel_llimbs,meanrel_llimbs,stdrel_llimbs,nlimbs,joints,joint_brick_ratio,symmetry_incl1,symmetry_incl2,symmetry_incl3,symmetry_incl4,symmetry_excl1,symmetry_excl2,symmetry_excl3,symmetry_excl4,coverage,branching,surface_area,id_string,experiment_id,generation_index,individual_index
6,0,7,0.35,1.0,0.0,0.8,0.8,0.4,0.3333333333333333,0.25,0.5773502691896258,4,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8,0.8,0.8333333333333334,0.8333333333333334,0.8,0.8,0.28,1.0,0.6571428571428571,7|134-B-135-B20-153-C40-155-B-169-B-170-C40-172-C40-173-B20-189-C40-207-B-,2,1,6001
19,0,20,1.0,1.0,0.1215474250925528,0.7857142857142857,0.7857142857142857,0.16666666666666666,0.15789473684210525,0.13157894736842105,0.0769800358919501,4,0.0,0.0,0.56,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.56,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.40816326530612246,0.5,0.6190476190476191,20|1032-B-1034-C40-1036-B20-1037-B-1078-B20-1079-B-814-B-857-B-858-B0020-859-B-901-B-902-B001020-903-B0020-904-B-946-C40-948-B-949-B-988-B20-989-C40-991-C40-992-B001020-993-B0020-994-B-,2,1,6002
2,17,20,1.0,0.8333333333333334,0.19218335351058463,0.0,0.625,0.7222222222222222,0.3157894736842105,0.23684210526315788,0.17213259316477408,4,0.2222222222222222,0.8947368421052632,0.48,0.8,0.5555555555555556,0.5,0.64,0.8,0.6666666666666666,0.625,0.16666666666666666,0.3333333333333333,0.2746478873239437,20|1034-C41-1078-A01-1120-A-1121-A01-1122-B0121-1166-A-682-A-726-A01-770-A01-814-A01-858-A01-902-A01-943-A-946-C41-987-B21-988-A01-989-C41-991-C41-992-A01-993-A01-994-A01-995-A01-996-A-,2,1,6003
0,19,20,1.0,0.47058823529411764,0.5254378642762083,0.0,1.0,0.8333333333333334,0.631578947368421,0.25,0.6655546280831972,4,0.0,1.0,0.48,0.64,0.5,0.7272727272727273,0.48,0.64,0.5,0.7272727272727273,0.14705882352941177,1.0,0.2422360248447205,20|1034-C41-1078-A01-1122-A01-1166-A01-1210-A01-1254-A01-1298-A01-1342-A01-1386-A01-1430-A01-1474-A01-1518-A01-1562-A-858-A-902-A01-946-C41-985-A-986-A01-987-A01-988-A01-989-C41-991-C41-992-A-,2,1,6004
8,0,9,0.45,1.0,0.2886751345948129,1.0,1.0,0.0,0.25,0.25,0.0,2,0.0,0.0,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.36,1.0,0.7428571428571429,9|187-B-208-B-209-B001020-210-B-231-C40-233-B-254-C40-255-B001020-256-B-277-B-,2,1,6005
0,19,20,1.0,0.9230769230769231,0.05263157894736842,0.0,1.0,0.8333333333333334,0.2631578947368421,0.25,0.06666666666666667,4,0.0,1.0,0.96,0.96,1.0,0.9333333333333333,0.96,0.96,1.0,0.9333333333333333,0.1282051282051282,1.0,0.2154696132596685,20|1034-C41-1078-A01-1122-A00-1166-A00-1210-A00-1254-A-726-A-770-A00-814-A00-858-A00-902-A00-946-C41-984-A-985-A00-986-A00-987-A00-988-A00-989-C41-991-C41-992-A00-993-A00-994-A00-995-A-,2,1,6006
6,13,20,1.0,0.9166666666666666,0.05263157894736842,0.8,0.2857142857142857,0.8333333333333334,0.3157894736842105,0.25,0.12765694770084507,4,0.0,0.6842105263157895,0.8,0.8,0.875,0.7058823529411765,0.88,0.88,0.875,0.8235294117647058,0.15151515151515152,0.16666666666666666,0.25161290322580643,20|1034-C41-1040-B-1078-A01-1122-A00-1166-A00-1210-B-769-B-770-B10-814-A01-858-A00-902-A00-946-C41-985-B-986-A00-987-A00-988-A01-989-C41-991-C41-992-A01-993-A01-994-A00-995-A01-996-B10-,2,1,6007
19,0,20,1.0,0.875,0.05263157894736842,0.9285714285714286,0.9285714285714286,0.0,0.15789473684210525,0.11842105263157894,0.06666666666666667,4,0.0,0.0,0.8333333333333334,0.8,0.9,0.7619047619047619,0.8333333333333334,0.8,0.9,0.7619047619047619,0.35714285714285715,0.6666666666666666,0.5492957746478874,20|1032-B-1034-C40-1036-B0020-1037-B-1077-B-1078-B001020-1079-B-1080-B-1122-B-858-B-901-B-902-B0020-944-B-946-C40-948-B-949-B-987-B-988-B001020-989-C40-991-C40-992-B001020-993-B0020-994-B-,2,1,6008
19,0,20,1.0,0.875,0.05263157894736842,0.9285714285714286,0.9285714285714286,0.05555555555555555,0.15789473684210525,0.11842105263157894,0.06666666666666667,4,0.0,0.0,0.88,0.88,0.8571428571428571,1.0,0.88,0.88,0.8571428571428571,1.0,0.35714285714285715,0.8333333333333334,0.5492957746478874,20|1032-B-1034-C40-1036-B-1077-B-1078-B001020-1079-B-1122-B-814-B-857-B-858-B0020-859-B-901-B-902-B001020-903-B20-944-B-946-C40-948-B-987-B-988-B001020-989-C40-991-C40-992-B001020-993-B-,2,1,6009
18,1,20,1.0,0.75,0.08594700851870801,0.7692307692307693,0.7857142857142857,0.2222222222222222,0.21052631578947367,0.14473684210526316,0.12765694770084507,4,0.0,0.05263157894736842,0.72,0.72,0.8,0.8181818181818182,0.72,0.72,0.8,0.8181818181818182,0.4166666666666667,0.6666666666666666,0.6290322580645161,20|1031-B-1032-B-1034-C40-1036-B20-1037-B-1078-B20-1079-B-858-B-901-B-902-B001020-903-B-905-A-944-B-946-C40-948-B-949-B01-987-B20-988-B001020-989-C40-991-C40-992-B001020-993-B0020-994-B-,2,1,6010
